Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-11,20040.12942784946,20104.58969568927,19234.359055894725,19340.96875,19,0.0,0.0
2010-02-12,19923.606898163587,20074.843984723775,19519.482653819035,19697.990234375,14,0.0,0.0
2010-02-16,19184.774014487986,19199.651062977428,18493.050843584897,18562.47265625,24,0.0,0.0
2010-02-17,18403.798357565087,18455.863299382807,18217.851326122785,18309.583984375,22,0.0,0.0
2010-02-18,18381.478881310337,18381.478881310337,17801.32520419437,17836.03515625,93,0.0,0.0
2010-02-19,17964.95863512596,18081.485720346413,17595.544471073317,17786.44921875,220,0.0,0.0
2010-02-22,17595.548797026575,17905.46052899745,17595.548797026575,17880.66796875,38,0.0,0.0
2010-02-23,17945.12749956425,18393.88095501963,17717.032928307413,18379.00390625,132,0.0,0.0
2010-02-24,18193.05357955253,18292.225689999545,17781.491874790827,17888.1015625,189,0.0,0.0
2010-02-25,18696.352173444782,18812.877372697396,18121.154296875,18121.154296875,178,0.0,0.0
2010-02-26,18088.9241640882,18383.96067981999,17982.314473730967,18121.154296875,139,0.0,0.0
2010-03-01,17902.97818513291,17967.4403459422,17662.486412331673,17724.46875,80,0.0,0.0
2010-03-02,17602.98446133466,17749.261874970336,17466.62255747861,17734.38671875,110,0.0,0.0
2010-03-03,17575.71393802299,17816.20574393914,17404.642057206125,17741.826171875,70,0.0,0.0
2010-03-04,17637.689482056274,17702.151626881252,17479.01488829507,17491.412109375,47,0.0,0.0
2010-03-05,17355.05717451074,17355.05717451074,16856.71857457976,16879.033203125,318,0.0,0.0
2010-03-08,16874.0703216317,16948.449880457094,16874.0703216317,16943.490234375,31,0.0,0.0
2010-03-09,16958.367998998747,16975.72297791929,16710.438647819086,16869.11328125,83,0.0,0.0
2010-03-10,16822.007716869044,16960.84945313553,16710.440254729972,16836.884765625,75,0.0,0.0
2010-03-11,16911.260553917302,17079.852585758992,16613.74609375,16613.74609375,101,0.0,0.0
2010-03-12,16405.484952932093,16670.769286902636,16405.484952932093,16554.2421875,172,0.0,0.0
2010-03-15,16591.42753489327,16745.144374744057,16460.025314616963,16467.462890625,52,0.0,0.0
2010-03-16,16390.612238485726,16544.329142315717,16224.500000000002,16224.5,122,0.0,0.0
2010-03-17,16142.679440666792,16142.679440666792,15889.790455194572,16060.8623046875,69,0.0,0.0
2010-03-18,15993.922312093879,16011.277290295935,15815.41288398659,15837.7265625,71,0.0,0.0
2010-03-19,16013.755859374998,16172.432384105317,15664.176458372045,16013.755859375,144,0.0,0.0
2010-03-22,16174.908920692631,16197.223543945353,15716.240039605085,15773.263671875,127,0.0,0.0
2010-03-23,15711.282860680385,15770.786321639616,15339.388830567616,15359.2236328125,136,0.0,0.0
