Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-11-19,897318.9144500897,1105938.7520920502,871957.6554841603,1100021.125,84,0.0,0.0
2008-11-20,1131394.2677796357,1331278.61828483,1051553.2443165646,1320100.875,142,0.0,0.0
2008-11-21,1230490.7279047943,1470765.1769109366,1089970.565389865,1101054.375,175,0.0,0.0
2008-11-24,1045541.4996749378,1099175.8718170982,829876.8439159172,866885.5,107,0.0,0.0
2008-11-25,828373.994404789,918923.0964125241,815129.7792771015,825743.9375,109,0.0,0.0
2008-11-26,884356.6292375788,885483.7964761185,673952.078043508,684378.375,154,0.0,0.0
2008-11-28,707954.9204031447,710678.9077577541,650939.0471532164,654132.6875,53,0.0,0.0
2008-12-01,712087.9347136305,892340.7703178327,703540.2494400596,880693.375,200,0.0,0.0
2008-12-02,831943.4115097424,879566.2307076015,727962.2263972567,732752.6875,200,0.0,0.0
2008-12-03,789298.9102453535,796437.6365548437,654226.6940210505,667095.1875,370,0.0,0.0
2008-12-04,704479.525862069,772861.0051724138,632528.6836206897,735476.625,319,0.0,0.0
2008-12-05,773518.5146644942,821892.7751444231,626986.7741816028,634125.5,365,0.0,0.0
2008-12-08,585751.2614042553,596929.0035638298,532492.6075851064,551842.3125,264,0.0,0.0
2008-12-09,565837.883419689,612145.6650474956,507225.1943005181,598243.9375,383,0.0,0.0
2008-12-10,578048.8978956229,595050.3360690236,531365.3908670034,557947.75,315,0.0,0.0
2008-12-11,574949.1920218219,659486.7304664616,552030.1260434974,641358.125,315,0.0,0.0
2008-12-12,690765.6072952569,704855.1967831939,568092.248153619,572319.125,320,0.0,0.0
2008-12-15,558041.7257751938,654696.318574836,553720.9179338104,630086.5,249,0.0,0.0
2008-12-16,590729.5503537294,596365.3864200712,500650.1038933659,501213.6875,244,0.0,0.0
2008-12-17,518027.2720651965,528359.6383257897,467774.39979776583,487687.6875,235,0.0,0.0
2008-12-18,491257.05833565333,533056.1770659336,464111.1138119432,506098.09375,243,0.0,0.0
2008-12-19,480455.02833502315,505816.29082778096,449457.92973276356,486372.65625,277,0.0,0.0
2008-12-22,483085.0471091352,567340.7903051092,483085.0471091352,520281.5625,275,0.0,0.0
2008-12-23,510794.5816869954,552781.5581515204,499710.77134512976,546770.0,244,0.0,0.0
2008-12-24,540194.8900410408,560014.2469874258,528359.6342341949,537846.625,89,0.0,0.0
2008-12-26,520751.28963302757,541322.0927408257,511921.81250000006,511921.8125,114,0.0,0.0
2008-12-29,518027.2780172414,566777.2612068965,512767.1642241379,544797.5,193,0.0,0.0
2008-12-30,528265.7311248808,538973.8202693041,490035.97426715924,492666.03125,184,0.0,0.0
2008-12-31,487687.62137189397,490881.26141939865,425035.9180870224,449833.59375,317,0.0,0.0
2009-01-02,440816.2637160326,456033.0194633152,417333.6159578804,432080.71875,313,0.0,0.0
2009-01-05,422687.69440124417,449176.1232503888,414421.80171073094,422781.625,347,0.0,0.0
2009-01-06,413106.7899848344,421184.82180354645,386806.2212727485,402586.5625,325,0.0,0.0
2009-01-07,426069.24371373304,453966.63467117987,420809.1295938104,437059.125,396,0.0,0.0
