Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-11,40563.58086515751,40578.74609375,40563.58086515751,40578.74609375,0,0.0,0.0
2010-02-12,40138.9375,40138.9375,40138.9375,40138.9375,1,0.0,0.0
2010-02-16,36438.46967240988,36438.46967240988,36084.59765625,36084.59765625,1,0.0,0.0
2010-02-17,35675.11686315967,35912.71568060222,35336.41397129923,35594.234375,17,0.0,0.0
2010-02-18,35033.10168159578,35265.64416341552,34775.28125,34775.28125,8,0.0,0.0
2010-02-19,34719.6676185705,35012.87482158304,34022.04027814661,34193.91796875,19,0.0,0.0
2010-02-22,33733.89552016166,34416.35775884589,33693.452342064025,33976.546875,19,0.0,0.0
2010-02-23,34345.584770452086,35589.18359375,34224.2552338812,35589.18359375,45,0.0,0.0
2010-02-24,35199.92553567834,35346.529169665126,34365.80713008379,34487.1328125,55,0.0,0.0
2010-02-25,35841.95000611785,36231.205021515714,34279.865868873996,34365.80859375,45,0.0,0.0
2010-02-26,34284.91661482506,35078.59560132699,34173.69981239352,34370.85546875,70,0.0,0.0
2010-03-01,33961.3809209143,33961.3809209143,32586.343749999996,32586.34375,37,0.0,0.0
2010-03-02,32161.702962222982,32237.53296222601,31519.681928424885,31823.0,22,0.0,0.0
2010-03-03,31474.182076420286,31742.113309861663,30928.212671900565,31519.6796875,56,0.0,0.0
2010-03-04,31282.08280486465,31691.559376653593,31074.816338230146,31408.46484375,7,0.0,0.0
2010-03-05,30897.881128850775,30993.93271509678,30038.48285643266,30083.98046875,11,0.0,0.0
2010-03-08,30073.86934183969,30073.86934183969,29755.386079557735,29891.87890625,24,0.0,0.0
2010-03-09,30149.698751613752,30149.698751613752,29371.18493277529,29805.939453125,11,0.0,0.0
2010-03-10,29805.939328864755,29816.050123300138,29133.587890625,29133.587890625,9,0.0,0.0
2010-03-11,29487.460331577182,29578.453631871966,28663.448839589077,28693.779296875,20,0.0,0.0
2010-03-12,28501.67905505477,28936.433594235747,28501.67905505477,28526.955078125,9,0.0,0.0
2010-03-15,28526.95340311501,29234.69357814695,28516.842608793202,28941.486328125,13,0.0,0.0
2010-03-16,28314.6296282012,28365.183598112242,27733.2734375,27733.2734375,38,0.0,0.0
2010-03-17,27384.461106321323,27384.461106321323,26823.326435724968,27126.642578125,9,0.0,0.0
2010-03-18,27091.2542692574,27515.89800232659,26944.650639503736,27470.400390625,11,0.0,0.0
2010-03-19,28339.906249999996,28360.1259085806,27217.63324021754,28339.90625,25,0.0,0.0
2010-03-22,28875.76631358201,28875.76631358201,27258.07590808825,27364.23828125,41,0.0,0.0
2010-03-23,27283.357774306118,27606.895516165896,26641.336724111905,26656.501953125,7,0.0,0.0
