Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-11,40.674076080322266,40.68966784175238,40.674076080322266,40.674076080322266,1900,0.0,0
2007-04-12,40.70139694213867,40.70139694213867,40.67411207894361,40.70139694213867,6100,0.0,0
2007-04-13,40.689694893386736,40.72867283596344,40.6273307800293,40.6273307800293,3400,0.0,0
2007-04-16,40.642909230039635,40.642909230039635,40.5961369003867,40.61172866821289,7600,0.0,0
2007-04-17,40.59612662021671,40.69357291408481,40.592227935791016,40.592227935791016,28100,0.0,0
2007-04-18,40.61171353613348,40.642894086342224,40.59612177411684,40.60391616821289,6300,0.0,0
2007-04-19,40.61564422236597,40.75986591484777,40.561074495227366,40.7442741394043,47500,0.0,0
2007-04-20,40.74815964111721,40.74815964111721,40.71307741426481,40.72087478637695,4900,0.0,0
2007-04-23,40.76766031565596,40.79494815305236,40.71309058851735,40.7442741394043,1700,0.0,0
2007-04-24,40.767623667451474,41.048269425492265,40.70136091175418,41.02488327026367,398500,0.0,0
2007-04-25,41.03660245840317,41.087276458740234,41.03660245840317,41.087276458740234,16300,0.0,0
2007-04-26,41.095076000001846,41.161338806152344,41.04050628036889,41.161338806152344,48200,0.0,0
2007-04-27,41.126259546599734,41.161338806152344,41.126259546599734,41.161338806152344,8300,0.0,0
2007-04-30,41.145716463579795,41.17300130312496,41.056067550999025,41.16520690917969,15500,0.0,0
2007-05-01,41.14684913653527,41.20938971558013,41.14684913653527,41.17030334472656,8600,0.293,0
2007-05-02,41.17813721034172,41.193772361855544,41.119506137689925,41.154685974121094,4700,0.0,0
2007-05-03,41.1859491743294,41.228945088052406,41.11949904633039,41.15858840942383,17200,0.0,0
2007-05-04,41.178114632330775,41.213294449472805,41.12339312308637,41.20938491821289,4600,0.0,0
2007-05-07,41.16639229879703,41.20547866821289,41.15857621775339,41.20547866821289,4200,0.0,0
2007-05-08,41.2523828854247,41.256292416880754,41.21720306651768,41.23674774169922,16100,0.0,0
2007-05-09,41.27193924812881,41.275848780974464,41.10386810306319,41.1273193359375,9400,0.0,0
2007-05-10,41.31492713383827,41.35792304048506,41.240663916802276,41.275840759277344,17400,0.0,0
2007-05-11,41.29147445416952,41.34619597305126,41.260204162780205,41.299293518066406,12200,0.0,0
2007-05-14,41.31101859886209,41.31492514866102,41.25629708068631,41.29538345336914,11600,0.0,0
2007-05-15,41.31492254826517,41.4048238836664,41.26411056518555,41.26411056518555,39400,0.0,0
2007-05-16,41.36574196238798,41.37746757650601,41.361832430315566,41.373558044433594,78100,0.0,0
2007-05-17,41.389211510944705,41.40484666405581,41.31103872748968,41.36185073852539,14500,0.0,0
2007-05-18,41.41264441886009,41.41264441886009,41.373558044433594,41.373558044433594,5200,0.0,0
2007-05-21,41.40874832574927,41.41656440976867,41.37356849241208,41.412654876708984,14600,0.0,0
2007-05-22,41.463470392424604,41.46737694343446,41.32666655457941,41.41656494140625,10200,0.0,0
2007-05-23,41.400931018723,41.4751972395126,41.31493918035611,41.38529586791992,22500,0.0,0
2007-05-24,41.44784188688323,41.44784188688323,41.37357565638969,41.397029876708984,17100,0.0,0
2007-05-25,41.42045823290541,41.61589306236549,41.3540111065927,41.45563507080078,7400,0.0,0
2007-05-29,41.31492079869536,41.322739861668126,41.26801834925386,41.29146957397461,4900,0.0,0
2007-05-30,41.38138931679422,41.40875008517459,41.334483864384985,41.38529586791992,4300,0.0,0
2007-05-31,41.38920052082057,41.38920052082057,41.295392609163365,41.318843841552734,6200,0.0,0
2007-06-01,41.31333923339844,41.32119888608357,41.25045001702582,41.31333923339844,13500,0.586,0
2007-06-04,41.348724365234375,41.35658701896165,41.27797547530776,41.348724365234375,21800,0.0,0
2007-06-05,41.352650632802394,41.352650632802394,41.289764404296875,41.289764404296875,4500,0.0,0
2007-06-06,41.270099695507746,41.29368165002823,41.22293278774417,41.23865509033203,74600,0.0,0
2007-06-07,41.167891263054315,41.167891263054315,40.95564475335614,41.04604721069336,12100,0.0,0
2007-06-08,40.959609492041785,40.9831914572281,40.845624995768006,40.93602752685547,17800,0.0,0
2007-06-11,40.8377344779778,40.90455199465899,40.719818743710775,40.849525451660156,2900,0.0,0
2007-06-12,40.786649963373854,40.79058128882934,40.51151715594409,40.6412239074707,67300,0.0,0
2007-06-13,40.731606645918156,40.802355481399026,40.43289200608467,40.71195602416992,24600,0.0,0
2007-06-14,40.617629806655586,40.743408203125,40.546883956724564,40.743408203125,18200,0.0,0
2007-06-15,40.6805043240352,40.75125314715627,40.6805043240352,40.735530853271484,13500,0.0,0
2007-06-18,40.841671395080205,40.841671395080205,40.641215818864026,40.75912857055664,14600,0.0,0
2007-06-19,40.814139506088644,40.814139506088644,40.62547797607126,40.810211181640625,19600,0.0,0
2007-06-20,40.81418668660293,40.81418668660293,40.44865417480469,40.44865417480469,16900,0.0,0
2007-06-21,40.48401497522149,40.65302603147475,40.48401497522149,40.523319244384766,13900,0.0,0
