Date,Open,High,Low,Close,Adj Close,Volume
2017-05-03,24.920000,25.040001,24.920000,24.920000,23.880157,200
2017-05-04,25.014999,25.014999,25.014999,25.014999,23.971191,200
2017-05-05,25.231001,25.231001,25.231001,25.231001,24.178186,500
2017-05-08,25.400000,25.400000,25.400000,25.400000,24.340132,200
2017-05-09,25.330000,25.410000,25.330000,25.410000,24.349714,400
2017-05-10,25.379999,25.379999,25.000000,25.000000,23.956823,400
2017-05-11,25.180000,25.180000,25.180000,25.180000,24.129307,200
2017-05-12,25.180000,25.180000,25.180000,25.180000,24.129307,0
2017-05-15,25.389999,25.389999,25.020000,25.020000,23.975986,500
2017-05-16,25.020000,25.020000,25.020000,25.020000,23.975986,0
2017-05-17,23.761000,23.761000,23.761000,23.761000,22.769522,200
2017-05-18,23.559999,23.559999,23.559999,23.559999,22.576906,300
2017-05-19,24.580000,24.792999,24.580000,24.792999,23.758459,300
2017-05-22,24.792999,24.792999,24.792999,24.792999,23.758459,0
2017-05-23,24.792999,24.792999,24.792999,24.792999,23.758459,0
2017-05-24,25.379999,25.379999,25.320999,25.320999,24.264425,800
2017-05-25,25.500000,25.660000,25.500000,25.660000,24.589281,1000
2017-05-26,25.840000,25.959999,25.840000,25.879999,24.800100,1600
2017-05-30,25.851000,25.851000,25.851000,25.851000,24.772310,200
2017-05-31,25.879999,25.879999,25.879999,25.879999,24.800100,200
2017-06-01,25.879999,25.879999,25.879999,25.879999,24.800100,0
2017-06-02,26.770000,26.806999,26.660000,26.806999,25.688423,1700
2017-06-05,26.770000,26.770000,26.719999,26.719999,25.605053,300
2017-06-06,26.719999,26.719999,26.719999,26.719999,25.605053,0
2017-06-07,25.919001,25.919001,25.919001,25.919001,24.837477,200
2017-06-08,25.919001,25.919001,25.919001,25.919001,24.837477,0
2017-06-09,25.919001,25.919001,25.919001,25.919001,24.837477,0
2017-06-12,26.820000,26.820000,26.698000,26.698000,25.583967,400
2017-06-13,26.698000,26.698000,26.698000,26.698000,25.583967,0
2017-06-14,26.698000,26.698000,26.698000,26.698000,25.583967,0
2017-06-15,27.459999,27.459999,27.459999,27.459999,26.314171,200
2017-06-16,27.459999,27.459999,27.459999,27.459999,26.314171,0
